market,calendar_date,session_state,reconstruction_state,coverage_calendar,coverage_security_lifecycle,coverage_daily_price,coverage_market_status,coverage_corporate_action,coverage_fundamental,reason_codes
TWSE,2025-01-16,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-16,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-17,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-17,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-18,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-18,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-19,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-19,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-20,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-20,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-21,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-21,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-22,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-22,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-23,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-23,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-24,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-24,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-25,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-25,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-26,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-26,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-27,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-27,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-28,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-28,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-29,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-29,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-30,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-30,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-01-31,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-01-31,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-01,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-01,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-02,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-02,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-03,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-03,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-04,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-04,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-05,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-05,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-06,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-06,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-07,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-07,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-08,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-08,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-09,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-09,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-10,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-10,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-11,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-11,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-12,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-12,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-13,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-13,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-14,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-14,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-15,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-15,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-16,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-16,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-17,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-17,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-18,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-18,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-19,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-19,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-20,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-20,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-21,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TPEX,2025-02-21,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
TWSE,2025-02-22,unknown,unknown,unknown,current-only,unknown,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;no-durable-daily-price-observation;no-official-session-record-for-market-date;security-lifecycle-current-only
